pk_id,cluster_id
23000,122
22116,122
22214,122
23036,122
22895,122
21842,122
22552,122
22063,122
22873,122
21846,122
21805,122
22305,122
21943,122
22668,122
22480,122
22500,122
21845,122
22771,122
22117,122
22515,122
22467,122
22298,122
21868,122
22835,122
21953,122
21875,122
22484,122
22095,122
22451,122
23038,122
21678,122
22000,122
22716,122
22648,122
22691,122
22799,123
22778,123
22768,123
22772,123
22805,123
22813,123
22760,123
22819,123
22078,124
21691,124
23031,124
21872,124
22045,124
22162,124
22817,124
22267,124
22429,124
22902,124
22149,124
22468,124
22850,124
21688,124
21917,124
22709,124
23076,124
23046,124
23048,124
23045,124
23101,124
23102,124
23133,124
23144,124
23147,124
23158,124
23177,124
23181,124
23189,124
23226,124
23242,124
23255,124
23259,124
23278,124
23283,124
23304,124
23330,124
23334,124
23350,124
23368,124
23492,125
23556,125
23504,125
23510,125
23399,125
23416,125
23509,125
23577,125
23426,125
23453,125
23431,125
23503,125
23494,125
23554,125
23513,125
23495,125
23490,125
23505,125
23518,125
23507,125
23564,126
23478,126
23575,126
23570,126
23580,126
23566,126
23663,127
23713,127
23603,127
23697,127
23687,127
23669,127
23632,127
23629,127
23631,127
23654,127
23643,127
23677,127
23680,127
23617,127
23637,127
23716,127
23758,128
23850,128
23873,128
23812,128
23827,128
23896,128
23877,128
23750,128
23743,128
23808,128
23777,128
23815,128
23796,128
23425,129
23608,129
23686,129
23674,129
23678,129
23624,129
23589,129
23641,129
23714,129
23718,129
23719,129
23730,129
23767,129
23771,129
23775,129
23786,129
23788,129
23799,129
23819,129
23833,129
23846,129
23852,129
23862,129
23885,129
23889,129
23901,129
23908,129
23916,129
23934,129
23591,129
24013,130
23914,130
23928,130
23927,130
23940,130
23954,130
24007,130
23906,130
23909,130
23948,130
24257,131
24157,131
24396,131
24246,131
24170,132
24161,132
24387,132
24187,132
24378,132
24129,132
24274,132
24042,132
24375,132
24248,132
24517,132
11831,89
23068,89
19543,89
10934,89
20407,89
23725,89
22217,89
20003,89
15572,89
15959,89
24128,89
21969,89
19464,89
20438,89
20494,89
10654,89
10406,89
21129,89
17041,89
22918,89
21226,89
21261,89
19566,89
14792,89
13022,89
21460,89
11808,89
19898,89
15088,89
